feature,class
"[-3.0831860e+02  1.0252005e+02  1.3691593e+01  2.0561224e+01
  1.8685919e+00  5.0886045e+00 -7.8158095e-02 -1.2646841e+01
 -1.6549294e+01  1.1875219e+01 -4.6188411e-01 -2.4831553e+00
  6.0919185e+00 -4.9872293e+00  3.3212097e+00  2.1397529e+00
 -6.2011285e+00  9.0921011e+00 -2.3378918e+00  4.7823364e-01
 -1.7378387e-01 -5.5845890e+00 -6.0825810e+00  5.3378100e+00
 -3.5132091e+00 -1.9184743e+00 -1.3525958e+00 -1.0609454e+00
 -3.4957051e+00  9.7899193e-01 -3.7189441e+00  2.2008801e+00
 -4.1273624e-01 -1.3559438e+00  1.5798529e+00  4.0578885e+00
 -2.5024173e+00 -5.2792466e-01 -1.1384123e-02  7.0899719e-01]",Mohanam
"[-3.2212534e+02  1.1155545e+02  1.1619510e+01  2.2521864e+01
  1.0003546e+01  1.2826135e+00 -6.7505884e+00 -2.9366570e+00
 -1.3658062e+01  2.8722086e+00  4.4907217e+00 -3.4917071e+00
  1.0536857e+00  6.5570849e-01 -6.9571775e-01  4.1512799e+00
 -8.4920788e+00  9.2377472e+00 -2.2994962e+00 -1.0036861e+00
  7.8350174e-01 -5.6920433e+00 -4.3864770e+00  1.2081457e+00
  1.8767592e-01 -2.8895266e+00 -2.1358588e+00 -1.6681847e-01
 -2.6004412e+00  4.9612191e-02 -5.7135839e+00  5.4461491e-01
  1.6910577e+00 -1.4513748e+00 -2.6159754e+00  1.7885013e+00
 -2.4237645e+00 -3.2572858e+00 -1.3415433e+00  1.2269976e+00]",Mohanam
"[-3.30142426e+02  1.18974640e+02  1.18466396e+01  2.51656971e+01
  7.11579037e+00  4.38879013e+00  1.25575972e+00 -8.86307621e+00
 -1.63844452e+01  1.17625885e+01 -3.13235450e+00  2.42453361e+00
  5.63320398e+00  4.34276372e-01  5.45742571e-01  8.55163097e+00
 -1.14720774e+01  1.24674044e+01 -8.53198528e-01 -5.17774391e+00
 -9.04146731e-01 -2.84465814e+00 -8.98608875e+00  4.12781954e+00
 -3.29227901e+00 -4.98058128e+00 -4.98369408e+00 -3.92324448e+00
 -2.68892312e+00  2.33378339e+00 -3.67974138e+00  9.16797698e-01
 -1.25021899e+00 -3.10131264e+00  2.13127136e+00  3.18190247e-01
 -2.56773257e+00 -2.50136805e+00 -3.07609129e+00  4.51477945e-01]",Mohanam
"[-3.08211334e+02  1.20752266e+02  1.05088139e+01  8.33622456e+00
 -2.90600777e+01  9.50565147e+00  1.34901514e+01 -6.87625599e+00
 -2.04666061e+01  2.46346073e+01  8.49466133e+00 -1.87851274e+00
  1.08080683e+01 -7.90179873e+00 -3.24404430e+00  6.71272039e+00
 -2.86923718e+00  1.78733277e+00 -2.24079967e+00 -4.12431908e+00
  2.22903967e+00 -9.40160179e+00 -2.13375539e-01  8.05610466e+00
 -2.15219712e+00  3.55133867e+00 -1.30658090e-01 -6.80043650e+00
  4.75843221e-01  5.07236862e+00 -6.93874884e+00  5.08425570e+00
  3.14727521e+00  5.92242002e-01 -8.17240000e-01  3.52742887e+00
 -2.99841666e+00 -2.10179782e+00 -4.64123917e+00 -1.62632138e-01]",Mohanam
"[-313.33838     117.64787      17.26717      21.166502      6.484275
    0.77704936   -5.935329     -2.5956874   -15.206675      4.0991783
    4.0438046    -3.1528742     3.6404216     5.5345416     3.774382
    2.620043     -7.7833204    12.59232      -5.619227     -5.1767616
   -2.037846     -1.2159208    -7.4878144     2.040096     -5.5264955
   -2.504114     -3.3752818    -2.5336907    -9.05367       3.5102043
   -0.46523657   -2.112022     -2.0890093    -0.3958161     3.9108994
   -0.46992627   -4.2427306     3.1700518    -4.136899      1.914057  ]",Mohanam
"[-3.1186234e+02  1.1640900e+02  1.8006712e+01  2.1623466e+01
  5.0588627e+00  2.2723615e+00 -8.8329277e+00  1.3860406e+00
 -1.3772441e+01  1.8540453e+00  3.1076732e+00 -2.7871504e+00
  3.1864040e+00  5.4503002e+00  2.3861592e+00  3.0654154e+00
 -1.0147988e+01  1.2219231e+01 -5.9624500e+00 -4.2897573e+00
 -2.9463928e+00  1.9206665e+00 -8.6920605e+00 -8.1586152e-01
 -4.2315493e+00 -2.2947681e+00 -4.6980371e+00 -2.6393487e+00
 -8.1810551e+00  4.9253097e+00 -1.0244068e+00 -4.5587015e+00
 -6.6735715e-01 -5.0368613e-01  1.0751827e+00 -1.4833493e+00
 -2.6846981e+00  7.2425798e-02 -3.7840984e+00  2.4640744e+00]",Mohanam
"[-3.10639984e+02  1.25969513e+02  1.54929276e+01  1.91493835e+01
  3.10362935e+00  2.70938444e+00 -6.68082714e+00 -6.74238110e+00
 -1.53218374e+01  3.48672915e+00  4.33838367e+00  2.97576594e+00
  4.31583738e+00  3.39258194e+00  7.03741741e+00  1.11862278e+00
 -7.25630617e+00  2.88214874e+00 -7.06163931e+00 -3.75376058e+00
  1.86106813e+00 -6.82692289e+00 -6.89299822e+00  3.43657517e+00
 -4.38811541e+00 -3.79175782e+00 -6.46291828e+00 -2.44585276e+00
  5.49682200e-01  5.77605128e-01 -6.61088896e+00  2.86934286e-01
  2.28009248e+00 -1.04882605e-01  1.19002663e-01  1.81844640e+00
 -2.54828572e+00 -8.08324158e-01 -1.23104954e+00  1.09215486e+00]",Mohanam
"[-169.67058      96.48495     -66.12636      43.346863    -20.480888
   11.072016    -10.576224      4.2073674    -5.770221      7.4323697
   -7.788369     10.884475     -1.9648383    -0.7384422    -5.687488
   -2.6857388     1.3053194    -0.6217614    -2.3595195    -7.814843
   -8.716784     -6.0112987    -0.8820742    -1.6161034    -3.0555792
    0.87872976   -7.034251     -6.243708     -7.5724373    -4.5201306
   -4.856053      1.3750737     0.6909525     9.134084      2.9661634
    0.8979387     1.9305936    -1.2829847    -4.9041467    -4.334621  ]",Mohanam
"[-155.1113       56.9278      -52.016186     39.760612    -23.066877
   11.590837    -16.275854      2.0919213    -6.4927135     7.8630004
   -7.6542907     9.184138     -4.27179      14.306651     -6.0261955
   -0.83985573  -10.450005      1.3461918   -11.081329     -3.0148988
   -5.958049      1.558202     -1.2815152    16.772284      3.3804164
   10.751305     -1.3061309    -6.5094604    -0.22251984   -8.098155
   -6.6763787     2.3673694    -2.7043502    -1.3827214    -5.2120814
   -2.0284836    -4.4747353    -2.05537       1.7853004    -0.739263  ]",Mohanam
"[-187.20172      66.33403     -55.23273      50.521683    -17.336176
    6.1497617    -7.2623887     5.364832     -1.148426      4.6834455
   -9.913398      8.327841     -3.5541272     9.352289     -9.66702
   -1.6882783    -2.4334962     3.3619657    -0.29561424    5.3301682
   -0.33806866    3.0137186    -0.2538662     7.3888254    -3.5820694
   -5.111394     -8.797981     -5.928665      0.60468423   -3.8955731
  -14.774532      2.6214223     3.2006495     2.7086146    -2.1932542
   -1.3356252    -0.3367341    -0.97177285   -6.716683     -6.2082205 ]",Mohanam
